mediaID;artist;album;tracknumber;title
BEATLES_CD13YELSUB_T05;Beatles, The;Yellow Submarine;5;It's All Too Much
BEATLES_CD13YELSUB_T06;Beatles, The;Yellow Submarine;6;All You Need Is Love
BEATLES_CD13YELSUB_T07;Beatles, The;Yellow Submarine;7;Pepperland
BEATLES_CD13YELSUB_T08;Beatles, The;Yellow Submarine;8;Sea of Time
BEATLES_CD13YELSUB_T09;Beatles, The;Yellow Submarine;9;Sea of Holes
BEATLES_CD13YELSUB_T10;Beatles, The;Yellow Submarine;10;Sea of Monsters
BEATLES_CD13YELSUB_T11;Beatles, The;Yellow Submarine;11;March of the Meanies
BEATLES_CD13YELSUB_T12;Beatles, The;Yellow Submarine;12;Pepperland Laid Waste
BEATLES_CD13YELSUB_T13;Beatles, The;Yellow Submarine;13;Yellow Submarine in Pepperland
BEATLES_OTHERS_01;Beatles, The;;;She Loves You
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
